,value
2015-01-01 00:00:00,1.8402760224045966
2015-01-01 01:00:00,1.8690865582718028
2015-01-01 02:00:00,1.9585896987926537
2015-01-01 03:00:00,1.964859847426721
2015-01-01 04:00:00,1.8284532951712826
2015-01-01 05:00:00,1.8498418493863007
2015-01-01 06:00:00,1.914582477713793
2015-01-01 07:00:00,2.0425189224807445
2015-01-01 08:00:00,2.093689503281549
2015-01-01 09:00:00,2.2775134347859716
2015-01-01 10:00:00,2.681149815899775
2015-01-01 11:00:00,2.5937838754840916
2015-01-01 12:00:00,2.6880060057065402
2015-01-01 13:00:00,2.558844310519844
2015-01-01 14:00:00,2.561891393294404
2015-01-01 15:00:00,2.605812065060571
2015-01-01 16:00:00,2.533686861112137
2015-01-01 17:00:00,2.0934523107650134
2015-01-01 18:00:00,2.1286167070332014
2015-01-01 19:00:00,2.107998063820183
2015-01-01 20:00:00,2.088580013441393
2015-01-01 21:00:00,2.03488333133348
2015-01-01 22:00:00,2.1702428389932202
2015-01-01 23:00:00,2.0112024582194166
2015-01-02 00:00:00,1.8814540947323855
2015-01-02 01:00:00,1.989309770537435
2015-01-02 02:00:00,1.9152223351256328
2015-01-02 03:00:00,1.8384555810597276
2015-01-02 04:00:00,1.9803455983051297
2015-01-02 05:00:00,1.8448145964463243
2015-01-02 06:00:00,1.8639091621303754
2015-01-02 07:00:00,2.0041562879463686
2015-01-02 08:00:00,2.153763414039835
2015-01-02 09:00:00,2.2984732046226903
2015-01-02 10:00:00,2.697169527423505
2015-01-02 11:00:00,2.5558827684106245
2015-01-02 12:00:00,2.636720327554136
2015-01-02 13:00:00,2.5957716541062648
2015-01-02 14:00:00,2.6782753573517093
2015-01-02 15:00:00,2.576219657317856
2015-01-02 16:00:00,2.3968644617584043
2015-01-02 17:00:00,1.9963785291624092
2015-01-02 18:00:00,2.0888328821358275
2015-01-02 19:00:00,2.060619257932939
2015-01-02 20:00:00,2.013467491164362
2015-01-02 21:00:00,2.1303345544563546
2015-01-02 22:00:00,2.0382337441614453
2015-01-02 23:00:00,2.0317740446972357
2015-01-03 00:00:00,1.0226571661425545
2015-01-03 01:00:00,1.0156214895535478
2015-01-03 02:00:00,1.0917921028166744
2015-01-03 03:00:00,1.057967587958789
2015-01-03 04:00:00,1.0985854377210373
2015-01-03 05:00:00,1.0386758826220888
2015-01-03 06:00:00,1.0420915282448562
2015-01-03 07:00:00,1.1330278830349703
2015-01-03 08:00:00,1.1955088052912906
2015-01-03 09:00:00,1.267150727168888
2015-01-03 10:00:00,1.4810536482198553
2015-01-03 11:00:00,1.4706230633714679
2015-01-03 12:00:00,1.485305083824739
2015-01-03 13:00:00,1.4974886418575786
2015-01-03 14:00:00,1.4961634254571021
2015-01-03 15:00:00,1.4052028809951573
2015-01-03 16:00:00,1.3109574930054855
2015-01-03 17:00:00,1.1596661133503257
2015-01-03 18:00:00,1.1382258380072776
2015-01-03 19:00:00,1.1289500014620526
2015-01-03 20:00:00,1.1535558706162474
2015-01-03 21:00:00,1.1008459282177547
2015-01-03 22:00:00,1.103617338519708
2015-01-03 23:00:00,1.1562404621191784
2015-01-04 00:00:00,1.0939048256097061
2015-01-04 01:00:00,1.0811907061715793
2015-01-04 02:00:00,1.0411869100906832
2015-01-04 03:00:00,1.0349392713498335
2015-01-04 04:00:00,1.0773085256408301
2015-01-04 05:00:00,1.084196859741417
2015-01-04 06:00:00,1.068671005859667
2015-01-04 07:00:00,1.1347998051522628
2015-01-04 08:00:00,1.173532127823278
2015-01-04 09:00:00,1.2134137851364735
2015-01-04 10:00:00,1.402374521716328
2015-01-04 11:00:00,1.4907956078291857
2015-01-04 12:00:00,1.4925799987004174
2015-01-04 13:00:00,1.42606852909183
2015-01-04 14:00:00,1.4360525994811744
2015-01-04 15:00:00,1.4279708319135502
2015-01-04 16:00:00,1.3442718382126473
2015-01-04 17:00:00,1.1304508092854195
2015-01-04 18:00:00,1.1852253791775675
2015-01-04 19:00:00,1.1269595293362424
2015-01-04 20:00:00,1.132358860552591
2015-01-04 21:00:00,1.1623942567948706
2015-01-04 22:00:00,1.1139621788857534
2015-01-04 23:00:00,1.1888581770402078
2015-01-05 00:00:00,1.8739082249540675
2015-01-05 01:00:00,1.8657010701459928
2015-01-05 02:00:00,1.9233855832904603
2015-01-05 03:00:00,1.8828985006346266
2015-01-05 04:00:00,1.8102836393583672
2015-01-05 05:00:00,1.9531089665134613
2015-01-05 06:00:00,1.924418697905447
2015-01-05 07:00:00,2.0549840852012493
2015-01-05 08:00:00,2.0577380603319626
2015-01-05 09:00:00,2.16052015636379
2015-01-05 10:00:00,2.543865176985968
2015-01-05 11:00:00,2.5338607669936453
2015-01-05 12:00:00,2.6734763551182623
2015-01-05 13:00:00,2.559531326842958
2015-01-05 14:00:00,2.6781665225309483
2015-01-05 15:00:00,2.67464295307518
2015-01-05 16:00:00,2.495720432689557
2015-01-05 17:00:00,2.083298471597829
2015-01-05 18:00:00,1.9871026892719474
2015-01-05 19:00:00,2.020736158958408
2015-01-05 20:00:00,2.0979309858066606
2015-01-05 21:00:00,2.0126731855973508
2015-01-05 22:00:00,1.9868859624678483
2015-01-05 23:00:00,2.0330412703849183
2015-01-06 00:00:00,1.8748025198693485
2015-01-06 01:00:00,1.9838038406387093
2015-01-06 02:00:00,1.9386547165514123
2015-01-06 03:00:00,1.8726958146652852
2015-01-06 04:00:00,1.8381178349902636
2015-01-06 05:00:00,1.9087503242681214
2015-01-06 06:00:00,1.8819101068118542
2015-01-06 07:00:00,2.102539174901932
2015-01-06 08:00:00,2.084519225654792
2015-01-06 09:00:00,2.263000940435606
2015-01-06 10:00:00,2.650177349269355
2015-01-06 11:00:00,2.6952000530388833
2015-01-06 12:00:00,2.696528819770163
2015-01-06 13:00:00,2.6474312634739854
2015-01-06 14:00:00,2.6288519535159893
2015-01-06 15:00:00,2.699414723803899
2015-01-06 16:00:00,2.4624350028256523
2015-01-06 17:00:00,2.1107912801920294
2015-01-06 18:00:00,1.9889018960103562
2015-01-06 19:00:00,1.9853952393096654
2015-01-06 20:00:00,2.0961430765107685
2015-01-06 21:00:00,2.032707524426201
2015-01-06 22:00:00,2.0116719913446914
2015-01-06 23:00:00,1.9899739318748066
2015-01-07 00:00:00,1.8256019855481185
2015-01-07 01:00:00,1.8398987578725652
2015-01-07 02:00:00,1.8917272947260924
2015-01-07 03:00:00,1.934214134632282
2015-01-07 04:00:00,1.8108570530380461
2015-01-07 05:00:00,1.9894886697109089
2015-01-07 06:00:00,1.8545690996659057
2015-01-07 07:00:00,2.0199800991840404
2015-01-07 08:00:00,2.043480622553363
2015-01-07 09:00:00,2.230251674404686
2015-01-07 10:00:00,2.611977504177307
2015-01-07 11:00:00,2.663230059222512
2015-01-07 12:00:00,2.7156936776066742
2015-01-07 13:00:00,2.552798665504928
2015-01-07 14:00:00,2.6046776197425703
2015-01-07 15:00:00,2.6367489867089158
2015-01-07 16:00:00,2.4528020957661214
2015-01-07 17:00:00,2.0207843000427816
2015-01-07 18:00:00,2.170987244106482
2015-01-07 19:00:00,2.0730504868803417
2015-01-07 20:00:00,2.157005537705244
2015-01-07 21:00:00,2.0541448091822057
2015-01-07 22:00:00,2.1443753514496695
2015-01-07 23:00:00,2.1097313504486164
2015-01-08 00:00:00,1.977625729272993
2015-01-08 01:00:00,1.8900669790236424
2015-01-08 02:00:00,1.8029060902071374
2015-01-08 03:00:00,1.945825839412123
2015-01-08 04:00:00,1.9991060235544305
2015-01-08 05:00:00,1.8966939830140337
2015-01-08 06:00:00,1.9082105998396808
2015-01-08 07:00:00,2.0883610964218073
2015-01-08 08:00:00,2.1446359434469544
2015-01-08 09:00:00,2.17093107172407
2015-01-08 10:00:00,2.6901150315892126
2015-01-08 11:00:00,2.6499933256519927
2015-01-08 12:00:00,2.5917333305436765
2015-01-08 13:00:00,2.6629954947601377
2015-01-08 14:00:00,2.578423619992031
2015-01-08 15:00:00,2.6142306858597464
2015-01-08 16:00:00,2.3690739351089403
2015-01-08 17:00:00,2.0818380504351532
2015-01-08 18:00:00,2.1541374859659634
2015-01-08 19:00:00,2.113566967693919
2015-01-08 20:00:00,2.040837887996013
2015-01-08 21:00:00,2.0380874591304132
2015-01-08 22:00:00,2.1101021794298545
2015-01-08 23:00:00,2.0404543485105555
2015-01-09 00:00:00,1.9108713561724386
2015-01-09 01:00:00,1.9747771087005777
2015-01-09 02:00:00,1.9109124729446405
2015-01-09 03:00:00,1.873842021948642
2015-01-09 04:00:00,1.9672349700189775
2015-01-09 05:00:00,1.8759471704048125
2015-01-09 06:00:00,1.8545746665292964
2015-01-09 07:00:00,2.0598419821908283
2015-01-09 08:00:00,2.114698123367528
2015-01-09 09:00:00,2.356148434056847
2015-01-09 10:00:00,2.5265948600754022
2015-01-09 11:00:00,2.5674152507957926
2015-01-09 12:00:00,2.5297959467771682
2015-01-09 13:00:00,2.520997786895371
2015-01-09 14:00:00,2.610597622141885
2015-01-09 15:00:00,2.657467224525217
2015-01-09 16:00:00,2.3812382961002796
2015-01-09 17:00:00,2.132233436370556
2015-01-09 18:00:00,2.1391049659744663
2015-01-09 19:00:00,2.0267195632968544
2015-01-09 20:00:00,2.1632561653927667
2015-01-09 21:00:00,2.0801534178703305
2015-01-09 22:00:00,2.025895352545881
2015-01-09 23:00:00,2.029134612188043
2015-01-10 00:00:00,1.0973451108849201
2015-01-10 01:00:00,1.0194661877047129
2015-01-10 02:00:00,1.0191029132646576
2015-01-10 03:00:00,1.069212168305495
2015-01-10 04:00:00,1.0351213983095395
2015-01-10 05:00:00,1.0834319079773211
2015-01-10 06:00:00,1.0403491607372075
2015-01-10 07:00:00,1.121673755192721
2015-01-10 08:00:00,1.1734528375539621
2015-01-10 09:00:00,1.2333378746210384
2015-01-10 10:00:00,1.4527031139921025
2015-01-10 11:00:00,1.4646747158447544
2015-01-10 12:00:00,1.4016436886766344
2015-01-10 13:00:00,1.4840417860219226
2015-01-10 14:00:00,1.4474007647096792
2015-01-10 15:00:00,1.4740592696959158
2015-01-10 16:00:00,1.3583668028320817
2015-01-10 17:00:00,1.175061335031484
2015-01-10 18:00:00,1.1460646537285568
2015-01-10 19:00:00,1.1043297342834852
2015-01-10 20:00:00,1.197705222961586
2015-01-10 21:00:00,1.104825456724849
2015-01-10 22:00:00,1.1956557407380055
2015-01-10 23:00:00,1.163232783443179
2015-01-11 00:00:00,1.0631230733018322
2015-01-11 01:00:00,1.0166271310080846
2015-01-11 02:00:00,1.0340495055326708
2015-01-11 03:00:00,1.0604194157929798
2015-01-11 04:00:00,1.094761430784705
2015-01-11 05:00:00,1.0371657375444634
2015-01-11 06:00:00,1.0069612442823046
2015-01-11 07:00:00,1.1689686444663878
2015-01-11 08:00:00,1.1938939742045336
2015-01-11 09:00:00,1.2171445882506706
2015-01-11 10:00:00,1.414522456947506
2015-01-11 11:00:00,1.484570780384939
2015-01-11 12:00:00,1.4894070069324037
2015-01-11 13:00:00,1.42375540780122
2015-01-11 14:00:00,1.4040203851292237
2015-01-11 15:00:00,1.4629725699473974
2015-01-11 16:00:00,1.3604690512842674
2015-01-11 17:00:00,1.1705658714159486
2015-01-11 18:00:00,1.1606263404364945
2015-01-11 19:00:00,1.1582527576964357
2015-01-11 20:00:00,1.1488559394560351
2015-01-11 21:00:00,1.1983380198225757
2015-01-11 22:00:00,1.1509052729636258
2015-01-11 23:00:00,1.1322052394073001
2015-01-12 00:00:00,1.9047223607793335
2015-01-12 01:00:00,1.8976542824417142
2015-01-12 02:00:00,1.8580431190709255
2015-01-12 03:00:00,1.9793427710543892
2015-01-12 04:00:00,1.8087460746648387
2015-01-12 05:00:00,1.8283219246563704
2015-01-12 06:00:00,1.897231834389656
2015-01-12 07:00:00,2.0329804335554944
2015-01-12 08:00:00,2.0960237719957395
2015-01-12 09:00:00,2.3447865645160335
2015-01-12 10:00:00,2.5975397047331934
2015-01-12 11:00:00,2.6742830428818105
2015-01-12 12:00:00,2.6200198376496875
2015-01-12 13:00:00,2.565670116965366
2015-01-12 14:00:00,2.5345985144021124
2015-01-12 15:00:00,2.5614242998860077
2015-01-12 16:00:00,2.3588203096853704
2015-01-12 17:00:00,2.008425965310309
2015-01-12 18:00:00,2.1532110828111026
2015-01-12 19:00:00,2.0123977074928012
2015-01-12 20:00:00,2.1287756282026664
2015-01-12 21:00:00,2.088526935509589
2015-01-12 22:00:00,2.0051071193878
2015-01-12 23:00:00,2.1170685877236655
2015-01-13 00:00:00,1.853516048414555
2015-01-13 01:00:00,1.9212566873783663
2015-01-13 02:00:00,1.929415620839051
2015-01-13 03:00:00,1.9538698556561143
2015-01-13 04:00:00,1.9121322160026533
2015-01-13 05:00:00,1.9598597957838941
2015-01-13 06:00:00,1.9072294228536857
2015-01-13 07:00:00,2.014208079998683
2015-01-13 08:00:00,2.1425802476499243
2015-01-13 09:00:00,2.3328475231913965
2015-01-13 10:00:00,2.7180799672008686
2015-01-13 11:00:00,2.532997474198473
2015-01-13 12:00:00,2.526780933317964
2015-01-13 13:00:00,2.5970280069446825
2015-01-13 14:00:00,2.6536281516412146
2015-01-13 15:00:00,2.6685896134877134
2015-01-13 16:00:00,2.3493991258297826
2015-01-13 17:00:00,2.161728929605292
2015-01-13 18:00:00,2.1511289849344766
2015-01-13 19:00:00,2.0062164039592916
2015-01-13 20:00:00,2.016967570147157
2015-01-13 21:00:00,2.031787802372408
2015-01-13 22:00:00,1.9929055515994059
2015-01-13 23:00:00,2.1235491912279167
2015-01-14 00:00:00,1.9094293499072266
2015-01-14 01:00:00,1.8639730487518271
2015-01-14 02:00:00,1.9127726068742394
2015-01-14 03:00:00,1.9878355354284354
2015-01-14 04:00:00,1.9394412936112706
2015-01-14 05:00:00,1.8590281759986689
2015-01-14 06:00:00,1.9299339500010433
2015-01-14 07:00:00,2.0340888418248646
